// Compost colors for allthethings. You may add your own colors, change existing ones, or remove colors that aren't needed.
adamanphene, #5e2f36
adamantine_armor_boots, #940b16
adamantine_armor_chestplate, #9a111e
adamantine_armor_helmet, #8a1e2a
adamantine_armor_leggings, #760818
adamantine_circuit, #8c4716
adamantine_cloth, #b93c4d
adamantine_drill_head, #6b1e25
adamantine_gear, #8a303c
adamantine_ingot, #872836
adamantine_mechanism, #792c36
adamantine_memory, #89401c
adamantine_nugget, #982839
adamantine_opal_cristal, #871f2a
adamantine_plate, #ac3a43
adamantine_powder, #722833
adamantine_solar_panel, #6b4b4e
adamantine_string, #7a4a52
adamantine_technological_core, #4a2c2f
adamantine_vhs, #661e2d
adamantine_visor, #69433a
apherilt, #40444d
blue_neon_dye, #82
cobalt_armor_boots, #23578a
cobalt_armor_chestplate, #2c5c90
cobalt_armor_helmet, #345b84
cobalt_armor_leggings, #29476b
cobalt_circuit, #7c6e5f
cobalt_cloth, #4e6c9e
cobalt_drill_head, #324466
cobalt_gear, #364169
cobalt_ingot, #3c527a
cobalt_mechanism, #324661
cobalt_memory, #665c5a
cobalt_nugget, #4d709a
cobalt_opal_cristal, #2c4083
cobalt_plate, #617fbc
cobalt_powder, #48709e
cobalt_solar_panel, #465161
cobalt_string, #4d586b
cobalt_technological_core, #2c3c4a
cobalt_vhs, #184079
cobalt_visor, #435154
cophene, #394458
crushed_adamantine, #75222c
crushed_cobalt, #324172
crushed_graphene, #252525
crushed_mithril, #15574d
dirty_adamantine_crystal, #84222f
dirty_cobalt_crystal, #4b64b8
dirty_graphene_crystal, #444444
dirty_mithril_crystal, #756c
drill_base, #5e5e5c
empty_neon_dye, #1f1f1f
final_fragment, #cccccc
graphene_armor_boots, #555555
graphene_armor_chestplate, #5a5a5a
graphene_armor_helmet, #474747
graphene_armor_leggings, #222222
graphene_circuit, #755828
graphene_cloth, #767676
graphene_drill_head, #232323
graphene_gear, #474747
graphene_ingot, #373737
graphene_mechanism, #434444
graphene_memory, #6f5e3c
graphene_nugget, #2f2f2f
graphene_opal_cristal, #545454
graphene_plate, #333333
graphene_powder, #2a2a2a
graphene_solar_panel, #525252
graphene_string, #464646
graphene_technological_core, #343434
graphene_vhs, #343434
graphene_visor, #554d40
green_neon_dye, #8200
hyper_glue, #bbca
imcomplete_adamantine_memory, #9b3d22
imcomplete_cobalt_memory, #686166
imcomplete_graphene_memory, #70613e
imcomplete_mithril_memory, #326c40
incomplete_adamantine_mechanism, #473336
incomplete_cobalt_mechanism, #393c44
incomplete_graphene_mechanism, #3a3a3a
incomplete_mithril_mechanism, #323e3d
incomplete_sharp_adamantine_ingot, #731922
incomplete_sharp_cobalt_ingot, #4a5c97
incomplete_sharp_graphene_ingot, #3c3c3c
incomplete_sharp_mithril_ingot, #5b58
laboratory_door, #848380
mithphene, #1e584e
mithril_armor_boots, #7650
mithril_armor_chestplate, #47a57
mithril_armor_helmet, #f7255
mithril_armor_leggings, #5741
mithril_circuit, #627a39
mithril_cloth, #a28c
mithril_drill_head, #5c46
mithril_gear, #5a4b
mithril_ingot, #57a66
mithril_mechanism, #125147
mithril_memory, #41794b
mithril_nugget, #349190
mithril_opal_cristal, #4d4a
mithril_plate, #2caa8c
mithril_powder, #8969
mithril_solar_panel, #3c625c
mithril_string, #37625a
mithril_technological_core, #2c4a41
mithril_vhs, #12543e
mithril_visor, #3e5b48
raw_adamantine, #a52336
raw_cobalt, #6579cf
raw_graphene, #525252
raw_mithril, #8e86
red_neon_dye, #820000
refined_adamantine_crystal, #912d43
refined_cobalt_crystal, #688dd3
refined_graphene_crystal, #5b5b5b
refined_mithril_crystal, #54a894
reinforced_door, #64656c
rgb_neon_dye, #2f3a2c
sharp_adamantine_ingot, #861c28
sharp_cobalt_ingot, #546bae
sharp_graphene_ingot, #444444
sharp_mithril_ingot, #6966
white_neon_dye, #c0c0c0
