// Compost colors for compatdelight. You may add your own colors, change existing ones, or remove colors that aren't needed.
allium_cake, #f0a5d4
allium_shake, #fbe1ff
arcane_crystal_cookie, #ffc08a
arcane_crystal_jem, #f8ffff
arcane_crystal_juice, #e0feff
arcane_crystal_pie, #ffe3ca
arcane_dragon_soup, #97792d
archwood_cup, #6b666f
ars_burger, #9866b9
bamboo_cake, #878d25
bamboo_cookie, #ffbb5f
bamboo_juice, #a0d397
bamboo_knife, #f4e764
bamboo_pasta, #8dc547
bamboo_pie, #d6ca58
bamboo_porridge, #6e6b19
bamboo_rice, #7a8925
bamboo_stew, #758429
bamboo_tea, #ffffff
bamboo_tube, #fff470
bastion_cake, #9e415e
bastion_glaze, #9a3786
bastion_jelly, #933978
bastion_jem, #b99bd6
bastion_shake, #ca8dd3
bastion_tea, #644b61
bastion_yougurt, #b68eca
bat_tentacle_stew, #5f5130
bat_tentacle_stick, #4e4d41
beaver_mutton_wrap, #ffb937
beaver_pasta, #ffda47
beaver_pasta_with_datura, #bc9139
beaver_stew, #c68923
blue_archwood_cup, #656f7f
bombegranate_cake, #ff6e37
bombegranate_doughnut, #ed6125
bombegranate_glaze, #ff6b32
bombegranate_jelly, #ff5254
bombegranate_jem, #ffd3bf
bombegranate_tea, #8a5458
bombegranate_yougurt, #ffc8b4
brain_coral_cookie, #ffb579
brain_coral_ice_cream, #ff82c6
brain_coral_knife, #f170af
brain_coral_pasta, #ab5b69
brain_coral_pie, #ffc094
brain_jem, #ffc2ff
bubble_coral_ice_cream, #d42cc2
bubble_coral_juice, #dd93ff
bubble_jem, #dd8eff
butter_bottle, #ffffff
cactus_cookie, #ffbe5f
cactus_pie, #d6c061
canned_cucumber, #b1fb9d
caramel, #ffb85a
certus_quartz_crystal_knife, #ccebfa
charged_apple_cider, #e8fbf4
cherry_cookie, #ffc986
cherry_ice_cream, #ffcff8
cherry_jem, #ffffff
cherry_juice, #ffedff
cherry_pie, #ffd7b8
chocolate_caramel, #a8662a
chocolate_crunch_bar, #965722
chocolate_filled_marshmallow, #fffff4
chocolate_wafer_bar, #83440e
chopsticks, #fff470
cleaver, #c9c5be
cobweb_pasta, #ffffff
cobweb_pasta_with_dripstone, #c9987a
combinationalcaralyst_juice, #c3f5c2
conductive_alloy_knife, #d3a79a
cooked_arcane_dragon_egg, #a46e1e
cooked_bamboo, #6e9e26
cooked_creaking, #4d4343
cooked_dragon_egg, #37223c
cooked_dripleaf, #87c908
cooked_eggplant_salad, #6b0f55
cooked_glow_spruit, #39b2af
cooked_mossy_shard, #706f22
cooked_root, #4d3c14
cooked_sculk_vein, #4152
cooked_smores, #dcb178
cooked_wilden_guardian_steak, #ab9483
cooked_wilden_stalker_maet, #af8454
coral_jelly, #cc8778
coral_kelp_roll, #574d4a
coral_kelp_roll_slice, #7f5066
cornflower_cookie, #ffb686
cornflower_pie, #dcbfc0
creaking_sandwich, #af8c3d
crushed_pepper, #412d2d
cucumber, #199604
cucumber_seeds, #e6400
cup, #ffffff
cut_bastion_pod, #8e347a
cut_bombegranate_pod, #ff792c
cut_cooked_wilden_guardian_steak, #b49e8e
cut_cooked_wilden_stalker_meat, #ac8352
cut_cucumber, #46cc43
cut_eggplant, #ffd4f0
cut_frostaya_pod, #a2b8ff
cut_garlic, #ffffff
cut_mendosteen_pod, #8efc46
cut_peas, #e7ff55
cut_source_berry, #7a5796
cut_wilden_guardian_steak, #e8b491
cut_wilden_stalker_meat, #ac9a73
dandelion_soup, #bb9730
dark_chocolate_bar, #93480f
dark_cookie, #682594
dark_gem_knife, #726c61
dark_jem, #bfa4ff
dark_steel_knife, #736e62
datura_burger, #7f7632
datura_ice_cream, #86af39
datura_jem, #d9ffd4
datura_oil, #b4bcc8
datura_pie, #f7de75
datura_seeds_ice_cream, #624b2c
datura_shake, #b5ebb9
demons_dream_ice_cream, #476137
demons_dream_jem, #c2e7cf
demons_dream_shake, #86ae97
deorum_knife, #da9739
dragon_egg_soup, #846934
dried_bastion_pod, #551e43
dried_bombegranate_pod, #bc4623
dried_frostaya_pod, #6e7fe4
dried_mendosteen_pod, #43960f
dried_source_berry, #691f82
dried_tentacle, #8c5034
dripstone_knife, #ab866c
dull_dust_sauce, #978769
dull_dust_stew, #9e9178
eggplant, #7f147d
elegaia_icecream, #e4b6d0
elemention_knife, #a05090
elementium_shake, #ffebff
ender_air_sauce, #443d1c
ender_dragon_and_ender_egg, #50323e
ender_dragon_blood, #eb80ff
ender_dragon_sandwich, #b98057
ender_dragon_steak, #58325f
ender_dragon_stew, #623446
ender_dust_jem, #8af2fa
ender_dust_knife, #3d8069
ender_dust_sauce, #4a7650
ender_dust_shake, #6edce3
energy_salad, #75908d
enriched_redstone_knife, #f5725a
enriched_refined_obsidian_knife, #9879ac
eyeblossom_salad, #aa9384
eyeblossom_sandwich, #b28c4b
fire_coral_cider, #f294af
fire_coral_knife, #e14340
fire_coral_salad, #be4829
fire_jem, #f4a0bc
flesh_werewolf_sandwich, #da9750
flesh_werewolf_stick, #f0616b
flower_honey, #ffeeff
flower_salad, #b89073
fluix_knife, #614e83
fluorite_knife, #fbffff
fork, #bbac91
frostaya_cake, #a18ec6
frostaya_glaze, #7f96ff
frostaya_jelly, #93a5ff
frostaya_jem, #b2d3ff
frostaya_shake, #b1d0ff
frostaya_tea, #666990
frostaya_yougurt, #aecdff
gaia_apple, #d6d6d6
gaia_shake, #ebffff
garlic, #ffffff
garmonbozia_custard, #fffff0
garmonbozia_ice_cream, #ffff83
garmonbozia_jem, #ffffff
garmonbozia_pie, #fffb9b
glow_berries_cookie, #ffc86b
glow_berries_ice_cream, #ffca4d
glow_berries_jem, #ffffd2
glow_berries_salad, #cf8629
glow_berries_stew, #dd8329
glow_berry_lolipop, #fff0b4
glow_lichen_jem, #bfe4f4
glow_spruit, #3db2a8
glow_spruit_sandwich, #96a15a
graham_cracker, #f4b94a
green_archwood_cup, #657872
hamburger_of_warden, #66683a
honey_bar, #ffb822
honey_bread, #ffa222
honey_cookie, #ffb246
honey_sandwich, #feaf39
honey_yougurt, #fff7b8
honeyed_bastion, #d75f48
honeyed_bombegranate, #ff8726
honeyed_frostaya, #ee8e7c
honeyed_mendosteen, #ccaa1e
honeyed_source_berry, #fa6f54
horn_coral_cookie, #ffc964
horn_coral_knife, #f8d747
horn_coral_pie, #ffe772
horn_jem, #ffffca
horn_sauce, #b59d2d
jem_glazed_arcane_dragon_egg, #7a5c37
jem_glazed_arcane_dragon_egg_block, #9b7a5e
kelp_pie, #d9be61
lightning_crenade_jem, #70aaea
lightning_grenade_cookie, #fab676
lightning_grenade_shake, #5297da
lolipop, #abffbe
magic_dough, #d09ef4
magic_fruit_salad, #986541
magic_jem, #f891ff
magic_pie, #d4808c
magic_punch, #ff82ff
mana_bread, #b5fcff
mana_cake, #d6faff
mana_flesh, #6280fe
mana_shake, #abf5ff
manasteel_knife, #788ecf
marshmallow, #ffffff
mendosteen_cake, #828c20
mendosteen_glaze, #48bf12
mendosteen_jelly, #66da1e
mendosteen_jem, #abffa7
mendosteen_shake, #b2ff97
mendosteen_tea, #5a7a4d
mendosteen_yougurt, #a7ff96
milk_chocolate_bar, #935b33
mix_vegetable_salad, #837952
moss_knife, #7a8a37
obsidian_knife, #463346
osmium_knife, #afbfbe
otherworld_essence_ice_cream, #c9e0e1
otherworld_essence_salad, #6c6b54
otherworld_essence_shake, #afdcff
oxeye_daisy_shake, #ffffff
oxeye_daisy_tea, #e7f2dd
pasta_with_dark_nether_star, #a06b4d
pasta_with_lightning_grenade, #906e5a
pasta_with_mangrove, #b4944d
peas, #93f012
pepper, #373737
pepper_item, #ab1204
petal_cookie, #ffe4ff
petal_tea, #ffffff
pickled_cucumber, #8de839
piece_bamboo, #75a82d
poppy_cookie, #ff9d51
poppy_pie, #ff9b65
pulsating_alloy_knife, #8cc68c
purifying_soap_sandwich, #f2c097
purifying_soap_sauce, #b89896
purple_archwood_cup, #79627f
red_archwood_cup, #7a6269
red_mushroom_pie, #ffaa70
resin_cookie, #ff871f
resin_dumplings, #e6d37f
resin_ice_cream, #ff831b
resin_jem, #ffd6a5
resin_knife, #e46b19
resin_shake, #ffc58a
roots_cookie, #ffb96c
roots_jem, #e6d7dd
salt, #ffffff
sculk_cider, #6b97b5
sculk_jem, #729ebb
sculk_stew, #333d29
sculk_vein_knife, #1f4141
sea_pickle_jem, #a8c2ae
sea_pickle_shake, #a4c2a5
silicon_knife, #918280
sky_dust_knife, #706c5c
smelter_prism_ice_cream, #ffc62c
smelter_prism_juice, #fff0a8
smores, #fcd391
soul_knife, #8dfef7
source_berry_bun, #d38951
source_berry_cake, #8c3082
source_berry_glaze, #8d1fb2
source_berry_ice_cream, #912ca1
source_berry_jelly, #891cae
source_berry_jem, #b893f8
source_berry_sandwich, #bb7561
source_berry_shake, #e6a2ff
source_berry_tea, #664873
source_berry_yougurt, #e7aeff
source_gem_knife, #b55ccd
source_gem_plate, #fe86ff
spices, #c03030
spoon, #bcb2a0
