// Compost colors for mystical_extended_tier. You may add your own colors, change existing ones, or remove colors that aren't needed.
lightium_apple, #518ab4
lightium_axe, #324652
lightium_boots, #417a97
lightium_chestplate, #6186a0
lightium_coal, #4490c5
lightium_essence, #91bedd
lightium_gemstone, #89c8f2
lightium_helmet, #517087
lightium_hoe, #324452
lightium_ingot, #96d2fc
lightium_leggings, #55788e
lightium_nugget, #8cc3eb
lightium_pickaxe, #344857
lightium_shears, #1c4461
lightium_shovel, #3e5869
lightium_sword, #3e5769
lightium_watering_can, #225070
ornium_apple, #5c0497
ornium_axe, #5b0089
ornium_boots, #a504f4
ornium_chestplate, #ae04ff
ornium_coal, #5e3276
ornium_essence, #5f3378
ornium_gemstone, #663a7f
ornium_helmet, #9600e0
ornium_hoe, #580086
ornium_ingot, #6b3e83
ornium_leggings, #9e00eb
ornium_nugget, #65397d
ornium_pickaxe, #5e0090
ornium_shears, #512866
ornium_shovel, #7500af
ornium_sword, #6f00a8
ornium_watering_can, #5c3075
ouranium_apple, #f3e47
ouranium_axe, #11333d
ouranium_boots, #2a6570
ouranium_chestplate, #2f6875
ouranium_coal, #1b555f
ouranium_essence, #1e5761
ouranium_gemstone, #447d87
ouranium_helmet, #225c68
ouranium_hoe, #11363e
ouranium_ingot, #4a838d
ouranium_leggings, #26616c
ouranium_nugget, #407a84
ouranium_pickaxe, #113741
ouranium_shears, #184a52
ouranium_shovel, #19434d
ouranium_sword, #1b444d
ouranium_watering_can, #1c5761
tornium_apple, #363230
tornium_axe, #282828
tornium_boots, #555555
tornium_chestplate, #5a585a
tornium_coal, #474747
tornium_essence, #6e6e6e
tornium_gemstone, #505050
tornium_helmet, #4d4d4d
tornium_hoe, #2c2c2c
tornium_ingot, #545254
tornium_leggings, #515151
tornium_nugget, #4e4e4e
tornium_pickaxe, #2a2a2a
tornium_shears, #3d3a3d
tornium_shovel, #3a393a
tornium_sword, #393939
tornium_watering_can, #474447
