// Compost colors for secretagentcraft. You may add your own colors, change existing ones, or remove colors that aren't needed.
apple_seeds, #ffffff
bowler_hat, #252525
bullet, #625740
chain_bowler_hat, #232323
chain_tuxedo, #5f5f5f
chain_tuxedo_pants, #514e4d
chain_tuxedo_shoes, #6b6b6b
cyanide, #ffffff
diamond_bowler_hat, #4b5562
diamond_tuxedo, #586464
diamond_tuxedo_pants, #444e4d
diamond_tuxedo_shoes, #666e6e
exploding_pen, #f8f5f4
gold_bowler_hat, #5c5c4a
gold_tuxedo, #686858
gold_tuxedo_pants, #514e40
gold_tuxedo_shoes, #6f7066
golden_bullet, #a18c1e
golden_gun_barrel, #aca066
golden_gun_grip, #b4a770
golden_gun_hammer, #ab9e65
gun_barrel, #807868
gun_grip, #8c8272
gun_hammer, #7d7566
iron_bowler_hat, #626262
iron_dust, #b9b9b9
iron_knuckles, #ffffff
iron_tuxedo, #707070
iron_tuxedo_pants, #52504e
iron_tuxedo_shoes, #737373
jetpack, #cfd0d0
jetpack_control, #e1d7d7
large_rocket_engine, #d9d9da
leather_bowler_hat, #5a504b
leather_tuxedo, #514741
leather_tuxedo_pants, #4e4440
leather_tuxedo_shoes, #26231c
mini_air_canister, #a8a8a8
night_vision_goggles, #141f0f
poison_dart, #ffffff
rocket_fuel, #fafafb
self_destructor, #3c3232
small_rocket_engine, #ffffff
throwable_hat, #252525
throwing_knife, #ffffff
tuxedo, #414141
tuxedo_pants, #222222
tuxedo_shoes, #1e1e1e
