// Compost colors for solarcraft. You may add your own colors, change existing ones, or remove colors that aren't needed.
algadium_ingot, #646464
amethyst_core, #d7bfca
ardo_crystal, #ffffd4
ash, #575e5f
blessed_module, #876f96
block_boomerang, #8a6665
blue_gem, #4d6eff
blue_gem_enriched, #4d6eff
charged_qualadium_axe, #8c8994
charged_qualadium_hoe, #9aa496
charged_qualadium_ingot, #908658
charged_qualadium_pickaxe, #89a4a0
charged_qualadium_shovel, #8e9493
charged_qualadium_sword, #5573a5
cold_star_piece, #4657f7
cold_star_piece_activated, #ffe323
corrupted_shard, #32153d
crystal_core, #ffffff
crystal_flower, #ffdc61
crystal_heart, #ffff6e
crystal_heart_piece, #ffff68
crystal_star, #ffffff
crystallite_core, #ffdd32
dead_sprout, #515151
defence_module_physical_10, #876f96
disarming_thorns_module, #876f96
divine_boots, #684d2a
divine_chestplate, #5e4737
divine_helmet, #795f3a
divine_leggings, #64482c
empty_crystal, #ffffff
ender_radar, #9797e6
enderite_essence, #a804ff
enderium_ingot, #a74bff
energetic_ingot, #ffff8e
energy_core, #ffffe3
energy_dust, #ffff54
fira_crystal, #ffffd7
first_dimensional_shard, #ebddaf
fury_swipes_module, #865f86
geminium_ingot, #4ffcd
giro_crystal, #ffffd7
gloves_of_reach, #80522c
haste_amulet, #f0d7c8
illidium_axe, #ee7948
illidium_hoe, #cd8262
illidium_ingot, #ff5b16
illidium_shovel, #e76b4a
illidium_sword, #ff6522
jump_amulet, #dcdcca
kelda_crystal, #ffffe1
lensing_crystal, #5e96ff
magic_damage_5_module, #865f86
materialization_core, #ffd2b9
medium_solar_reactor, #91847a
miner_item, #eb6c3e
night_vision_amulet, #dac8de
pickaxe_auto_smelt_module, #896b8e
pickaxe_miner_module, #896b8e
poisoning_blade_module, #865f86
qualadium_axe, #444ea4
qualadium_hoe, #6176a0
qualadium_ingot, #18238a
qualadium_pickaxe, #2f61b2
qualadium_shovel, #5062a1
qualadium_sword, #204bb4
radiant_berry, #fff511
radiant_berry_bush, #dcd3a0
radiant_chestplate, #fe9a2f
radiant_grass_grass, #cfcfcf
regen_amulet, #f0c5dd
rune_energy_pylon, #ffff3a
runestone, #585858
runic_core, #c2a46c
runic_tree_sapling, #79471c
small_solar_reactor, #d9cf9b
solar_boots, #ffff36
solar_chestplate, #ffff20
solar_dust, #ffe11b
solar_flower, #d7a543
solar_helmet, #ffff29
solar_key, #fff425
solar_leggins, #ffff28
solar_lexicon, #373a50
solar_network_binder, #d97851
solar_rune_ardo, #894b16
solar_rune_fira, #844716
solar_rune_giro, #844716
solar_rune_kelda, #7a3d18
solar_rune_tera, #9d5f14
solar_rune_ultima, #763a18
solar_rune_urba, #733618
solar_rune_zeta, #733618
solar_shard, #905b20
speed_amulet, #eedade
strength_amulet, #f0c5c8
sun_shard, #51c5ff
sword_aoe_module, #865f86
sword_heal_module, #865f86
tera_crystal, #ffffc3
thrown_light, #ffff8a
to_render_item, #ffff47
totem_of_immortality, #828a5e
turret_radar, #475e25
ultima_crystal, #ffffe4
urba_crystal, #ffffe7
void_core, #e3befa
void_dust, #26336f
void_lily, #5ca039
xp_crystal, #d796d4
zeta_crystal, #ffffe7
