// Compost colors for thermalconstruct. You may add your own colors, change existing ones, or remove colors that aren't needed.
amethyst_bronze_coin, #f194ed
amethyst_bronze_dust, #ffa8f8
amethyst_bronze_gear, #eb8ee8
amethyst_bronze_plate, #fca4f5
basalz_bone, #3d3d47
blitz_bone, #ffffff
blizz_bone, #5ecaff
bronze_cast_adze_head, #ffda20
bronze_cast_boots_plating, #ffb922
bronze_cast_bow_grip, #ffd225
bronze_cast_bow_limb, #ffcf20
bronze_cast_broad_axe_head, #ffd022
bronze_cast_broad_blade, #ffcd22
bronze_cast_chestplate_plating, #ffb523
bronze_cast_coin, #ffd422
bronze_cast_gear, #ffc328
bronze_cast_gem, #ffca28
bronze_cast_hammer_head, #ffd023
bronze_cast_helmet_plating, #ffd322
bronze_cast_large_plate, #ffd31f
bronze_cast_leggings_plating, #ffc525
bronze_cast_maille, #ffc629
bronze_cast_pick_head, #ffcf20
bronze_cast_small_axe_head, #ffd422
bronze_cast_small_blade, #ffd322
bronze_cast_tool_binding, #ffcc22
bronze_cast_tool_handle, #ffd220
bronze_cast_tough_binding, #ffbc25
bronze_cast_tough_handle, #ffcf22
bronze_cast_wire, #ffc21e
cinderslime_coin, #ff4140
cinderslime_dust, #ff5e5c
cinderslime_gear, #ff3e3d
cinderslime_plate, #ff5e5e
cobalt_coin, #b5bcf
cobalt_dust, #156ce4
cobalt_gear, #a57c8
cobalt_plate, #186be0
hepatizon_coin, #372043
hepatizon_dust, #4e325c
hepatizon_gear, #3e224e
hepatizon_plate, #4d2f5e
manyullyn_coin, #8744ca
manyullyn_dust, #9a55de
manyullyn_gear, #8341c3
manyullyn_plate, #9855dc
queens_slime_coin, #a57c14
queens_slime_dust, #b89e0f
queens_slime_gear, #9b7618
queens_slime_plate, #b4980f
slimesteel_coin, #83ffff
slimesteel_dust, #a8ffff
slimesteel_gear, #83fcff
slimesteel_plate, #a8feff
